Region,stn_river,stn_drum
Seomjin-main,135.307,15136
Seomjin-main,134,16721
Seomjin-main,133.8,16954
Seomjin-main,132.8,17659
Seomjin-main,132.65,17660
Seomjin-main,130.2,16735
Seomjin-main,129.6,16969
Seomjin-main,127.723,18616
Seomjin-main,127.6,18381
Seomjin-main,127.2,18614
Seomjin-main,126,19546
Seomjin-main,125.605,20233
Seomjin-main,125.033,20234
Seomjin-main,124.725,20691
Seomjin-main,124.4,20462
Seomjin-main,124.2,21154
Seomjin-main,122.6,20468
Seomjin-main,121.6,19789
Seomjin-main,121,19561
Seomjin-main,120.4,20020
Seomjin-main,120.2,20249
Seomjin-main,119.8,20474
Seomjin-main,117.6,21901
Seomjin-main,116.8,22616
Seomjin-main,116.8,22147
Seomjin-main,116,22389
Seomjin-main,115.349,22850
Seomjin-main,114.6,23297
Seomjin-main,114.4,23078
Seomjin-main,112.8,24747
Seomjin-main,112.4,24951
Seomjin-main,112.2,25152
Seomjin-main,112,25352
Seomjin-main,111.8,25551
Seomjin-main,111.8,25549
Seomjin-main,111.4,25748
Seomjin-main,110.106,26323
Seomjin-main,109.4,26887
Seomjin-main,109.2,26888
Seomjin-main,109,26514
Seomjin-main,108.861,26515
Seomjin-main,108.8,26890
Seomjin-main,108.8,26704
Seomjin-main,108.113,27077
Seomjin-main,108.113,26892
Seomjin-main,106.4,27996
Seomjin-main,104.2,28910
Seomjin-main,104.142,29083
Seomjin-main,104.142,28909
Seomjin-main,104,29257
Seomjin-main,103.6,29427
Seomjin-main,103.4,29081
Seomjin-main,103.2,29080
Seomjin-main,103,29425
Seomjin-main,103,29252
Seomjin-main,102.474,29423
Seomjin-main,102.2,29596
Seomjin-main,101.6,30278
Seomjin-main,101.4,30110
Seomjin-main,101.2,30445
Seomjin-main,101.2,30280
Seomjin-main,100,30950
Seomjin-main,100,30948
Seomjin-main,99,31771
Seomjin-main,98,32422
Seomjin-main,97.6,32584
Seomjin-main,97.4,32586
Seomjin-main,97.2,32746
Seomjin-main,96.8,32748
Seomjin-main,96.6,32910
Seomjin-main,96.2,33074
Seomjin-main,94.6,33745
Seomjin-main,93.8,34293
Seomjin-main,93.6,34295
Seomjin-main,93.2,34691
Seomjin-main,93.2,34296
Seomjin-main,93,34491
Seomjin-main,93,34297
Seomjin-main,92.8,34891
Seomjin-main,92.8,34890
Seomjin-main,92.8,34493
Seomjin-main,92.6,34492
Seomjin-main,92.4,34694
Seomjin-main,92.2,35089
Seomjin-main,92,35090
Seomjin-main,92,34695
Seomjin-main,91.868,34696
Seomjin-main,91.6,35091
Seomjin-main,91.6,34697
Seomjin-main,91.4,35092
Seomjin-main,91.2,34896
Seomjin-main,91.2,34698
Seomjin-main,90.8,34897
Seomjin-main,90.297,34702
Seomjin-main,90.297,34501
Seomjin-main,90,34117
Seomjin-main,89.8,34305
Seomjin-main,89.8,34116
Seomjin-main,89.4,34114
Seomjin-main,89.2,33930
Seomjin-main,89,33932
Seomjin-main,88.4,33247
Seomjin-main,88,33586
Seomjin-main,87.8,33587
Seomjin-main,87.2,33420
Seomjin-main,87,33590
Seomjin-main,86.4,33938
Seomjin-main,86.4,33764
Seomjin-main,86,33940
Seomjin-main,85.853,33941
Seomjin-main,85.6,34125
Seomjin-main,85.4,34509
Seomjin-main,85.4,34316
Seomjin-main,85.2,34711
Seomjin-main,84.8,34713
Seomjin-main,84.4,34912
Seomjin-main,84.2,35303
Seomjin-main,84.2,35109
Seomjin-main,84,35110
Seomjin-main,83.2,35500
Seomjin-main,83.2,35111
Seomjin-main,83,35112
Seomjin-main,82.8,35113
Seomjin-main,82.737,35114
Seomjin-main,82.6,35115
Seomjin-main,82.2,35116
Seomjin-main,81.8,35118
Seomjin-main,81.6,35117
Seomjin-main,80.6,35510
Seomjin-main,79.88,35712
Seomjin-main,79.758,35512
Seomjin-main,79.2,35910
Seomjin-main,79.2,35714
Seomjin-main,77.8,35718
Seomjin-main,77.67,35520
Seomjin-main,77.4,35522
Seomjin-main,77.2,35723
Seomjin-main,76.4,36517
Seomjin-main,75.8,37145
Seomjin-main,75.4,37803
Seomjin-main,75,37365
Seomjin-main,74.6,38459
Seomjin-main,74.2,38678
Seomjin-main,73.364,38897
Seomjin-main,73.2,39339
Seomjin-main,73,39118
Seomjin-main,73,38899
Seomjin-main,72.8,39560
Seomjin-main,72.8,39120
Seomjin-main,72.6,39561
Seomjin-main,72.2,39562
Seomjin-main,71.4,40007
Seomjin-main,71.2,39786
Seomjin-main,69,41665
Seomjin-main,69,41179
Seomjin-main,68.8,41668
Seomjin-main,67.432,42653
Seomjin-main,66.421,43926
Seomjin-main,66.336,43666
Seomjin-main,66.2,43925
Seomjin-main,64.8,44956
Seomjin-main,64.6,45223
Seomjin-main,62.8,47452
Seomjin-boseong,25.57,63561
Seomjin-boseong,23.97,62152
Seomjin-boseong,23.74,61932
Seomjin-boseong,23.74,61707
Seomjin-boseong,23.34,61934
Seomjin-boseong,22.94,61254
Seomjin-boseong,22.74,61483
Seomjin-boseong,22.34,61015
Seomjin-boseong,22.162,61486
Seomjin-boseong,22.103,61014
Seomjin-boseong,21.32,60261
Seomjin-boseong,20.8,60002
Seomjin-boseong,20.39,59480
Seomjin-boseong,20.19,59482
Seomjin-boseong,19.99,59741
Seomjin-boseong,19.79,59216
Seomjin-boseong,19.375,58952
Seomjin-boseong,19.16,58405
Seomjin-boseong,18.36,57840
Seomjin-boseong,17.77,56940
Seomjin-boseong,17.37,56635
Seomjin-boseong,17.17,56331
Seomjin-boseong,16.97,55721
