River,Reach,Station,MAX_WL
Seomjin,main,136.000,146.615311
Seomjin,main,135.307,146.571716
Seomjin,main,135.200,145.863953
Seomjin,main,135.000,144.930817
Seomjin,main,134.800,144.344437
Seomjin,main,134.600,143.479507
Seomjin,main,134.400,142.754089
Seomjin,main,134.200,142.100662
Seomjin,main,134.000,141.172668
Seomjin,main,133.800,140.566589
Seomjin,main,133.600,140.371979
Seomjin,main,133.400,139.894714
Seomjin,main,133.200,139.398544
Seomjin,main,133.000,138.853699
Seomjin,main,132.800,137.980118
Seomjin,main,132.650,137.153091
Seomjin,main,132.600,136.929077
Seomjin,main,132.400,136.859497
Seomjin,main,132.268,136.625549
Seomjin,main,132.200,136.411743
Seomjin,main,132.000,135.982849
Seomjin,main,131.800,135.516068
Seomjin,main,131.727,134.435135
Seomjin,main,131.600,133.464661
Seomjin,main,131.400,133.108734
Seomjin,main,131.200,132.572525
Seomjin,main,131.000,132.003937
Seomjin,main,130.800,131.365967
Seomjin,main,130.600,130.795593
Seomjin,main,130.400,130.424042
Seomjin,main,130.200,130.157913
Seomjin,main,130.000,129.658173
Seomjin,main,129.800,129.157898
Seomjin,main,129.711,128.961792
Seomjin,main,129.600,128.791458
Seomjin,main,129.517,128.402939
Seomjin,main,129.466,128.280609
Seomjin,main,129.400,128.471924
Seomjin,main,129.200,128.435654
Seomjin,main,129.000,128.260803
Seomjin,main,128.846,128.169312
Seomjin,main,128.800,128.075226
Seomjin,main,128.600,127.714966
Seomjin,main,128.400,127.128983
Seomjin,main,128.200,126.618439
Seomjin,main,128.000,126.255432
Seomjin,main,127.845,126.063431
Seomjin,main,127.800,126.098228
Seomjin,main,127.723,126.169472
Seomjin,main,127.600,126.111519
Seomjin,main,127.400,125.891983
Seomjin,main,127.200,125.667976
Seomjin,main,127.000,125.474373
Seomjin,main,126.800,125.181763
Seomjin,main,126.600,124.791351
Seomjin,main,126.400,124.389526
Seomjin,main,126.200,123.889709
Seomjin,main,126.000,123.239899
Seomjin,main,125.905,122.412354
Seomjin,main,125.800,121.951065
Seomjin,main,125.605,121.813934
Seomjin,main,125.400,121.513336
Seomjin,main,125.200,121.276085
Seomjin,main,125.033,121.069862
Seomjin,main,124.800,120.881821
Seomjin,main,124.725,120.656570
Seomjin,main,124.600,120.278343
Seomjin,main,124.400,119.929413
Seomjin,main,124.200,119.560699
Seomjin,main,124.000,118.884933
Seomjin,main,123.800,118.188309
Seomjin,main,123.600,117.672920
Seomjin,main,123.378,117.197586
