River_Name: Seomjin, boseong
Data: Q
25.970 10.630
25.770 10.503
25.570 10.385
25.370 1391.382
25.283 1391.345
25.170 1391.302
24.970 1391.226
24.744 1391.142
24.542 1391.060
24.370 1390.984
24.287 1390.951
24.170 1390.911
23.970 1390.848
23.740 1390.807
23.540 1391.061
23.340 1391.026
23.140 1479.030
22.940 1478.967
22.740 1479.160
22.540 1479.447
22.340 1479.327
22.162 1479.239
22.103 1480.287
21.940 1480.470
21.740 1480.226
21.540 1479.809
21.320 1479.270
21.170 1478.958
20.970 1478.392
20.800 1477.833
20.590 1477.492
20.390 1476.996
20.190 1476.548
19.990 1476.417
19.790 1476.083
19.575 1475.609
19.375 1474.900
19.160 1474.150
18.960 1473.337
18.760 1472.268
18.560 1471.179
18.360 1470.154
18.160 1470.100
17.970 1469.413
17.770 1468.787
17.570 1468.189
17.370 1467.457
17.170 1466.707
16.970 1465.616
16.796 1464.881
16.648 1464.018
16.555 1463.268
16.355 1461.271
16.155 1459.682
15.960 1457.458
15.765 1454.824
15.565 1452.347
15.365 1449.886
15.165 1447.373
14.965 1445.053
14.770 1442.456
14.570 1440.052
14.385 1437.867
14.190 1436.970
13.990 1434.336
13.790 1431.792
13.590 1428.152
13.395 1423.622
13.190 1419.077
12.990 1415.298
12.805 1412.625
12.610 1409.895
12.410 1406.430
12.210 1403.322
12.010 1400.926
11.810 1398.746
11.733 1397.806
11.610 1415.469
11.410 1412.163
11.210 1409.295
11.010 1406.879
10.810 1403.869
10.600 1403.310
10.400 1404.265
10.200 1402.435
10.000 1399.649
9.800 1396.798
9.600 1394.038
9.400 1391.603
9.200 1389.046
9.000 1386.676
8.800 1384.240
8.600 1381.663
8.400 1406.523
8.200 1401.150
8.000 1395.993
7.800 1391.391
7.600 1387.000
7.400 1384.081
7.200 1381.374
7.000 1378.495
6.800 1375.058
6.600 1371.890
6.400 1367.970
6.200 1363.982
6.000 1359.113
5.800 1355.461
5.600 1351.243
5.400 1347.471
5.285 1345.627
5.200 1362.271
5.000 1358.207
4.800 1352.690
4.600 1348.357
4.400 1344.754
4.200 1340.106
4.000 1337.053
3.790 1332.655
3.590 1329.293
3.390 1325.919
3.190 1322.699
2.990 1319.783
2.790 1316.340
2.600 1312.990
2.400 1308.257
2.200 1300.547
2.000 1294.504
1.800 1290.059
1.600 1283.555
1.400 1277.793
1.200 1272.018
1.000 1265.245
0.800 1258.768
0.600 1252.681
0.400 1245.948
0.170 1237.029
0.000 1231.117
-1.000 1227.880

River_Name: Seomjin, boseong
Data: WL
25.970 66.329
25.770 66.336
25.570 66.549
25.370 66.284
25.283 65.674
25.170 65.419
24.970 65.098
24.744 64.699
24.542 64.377
24.370 64.141
24.287 63.838
24.170 63.559
23.970 63.338
23.740 63.125
23.540 62.958
23.340 62.755
23.140 62.447
22.940 62.129
22.740 61.929
22.540 61.685
22.340 61.419
22.162 61.190
22.103 60.904
21.940 60.470
21.740 60.097
21.540 59.974
21.320 59.888
21.170 59.757
20.970 59.643
20.800 59.560
20.590 59.441
20.390 59.279
20.190 59.119
19.990 58.914
19.790 58.689
19.575 58.476
19.375 58.283
19.160 58.114
18.960 57.887
18.760 57.652
18.560 57.534
18.360 57.490
18.160 57.423
17.970 57.307
17.770 57.165
17.570 57.030
17.370 56.878
17.170 56.709
16.970 56.544
16.796 56.277
16.648 55.938
16.555 55.759
16.355 55.625
16.155 55.418
15.960 55.202
15.765 54.987
15.565 54.826
15.365 54.694
15.165 54.507
14.965 54.286
14.770 54.086
14.570 53.923
14.385 53.658
14.190 53.412
13.990 53.296
13.790 53.170
13.590 53.076
13.395 52.999
13.190 52.898
12.990 52.736
12.805 52.519
12.610 52.294
12.410 52.036
12.210 51.801
12.010 51.642
11.810 51.497
11.733 51.337
11.610 51.176
11.410 50.997
11.210 50.702
11.010 50.378
10.810 49.895
10.600 49.473
10.400 49.260
10.200 49.000
10.000 48.830
9.800 48.664
9.600 48.387
9.400 48.169
9.200 48.013
9.000 47.851
8.800 47.712
8.600 47.520
8.400 47.192
8.200 46.779
8.000 46.476
7.800 46.167
7.600 45.728
7.400 45.328
7.200 45.010
7.000 44.831
6.800 44.602
6.600 44.268
6.400 44.032
6.200 43.782
6.000 43.486
5.800 43.132
5.600 42.810
5.400 42.556
5.285 42.353
5.200 42.067
5.000 41.652
4.800 41.246
4.600 40.774
4.400 40.414
4.200 40.191
4.000 39.852
3.790 39.449
3.590 39.063
3.390 38.691
3.190 38.367
2.990 38.170
2.790 37.942
2.600 37.343
2.400 36.729
2.200 36.391
2.000 36.096
1.800 35.872
1.600 35.690
1.400 35.460
1.200 35.271
1.000 35.158
0.800 35.071
0.600 34.996
0.400 34.923
0.170 34.864
0.000 34.880
