Region,Station
Seomjin-main,136
Seomjin-main,135.307
Seomjin-main,135.2
Seomjin-main,135
Seomjin-main,134.8
Seomjin-main,134.6
Seomjin-main,134.4
Seomjin-main,134.2
Seomjin-main,134
Seomjin-main,133.8
Seomjin-main,133.6
Seomjin-main,133.4
Seomjin-main,133.2
Seomjin-main,133
Seomjin-main,132.8
Seomjin-main,132.65
Seomjin-main,132.6
Seomjin-main,132.4
Seomjin-main,132.268
Seomjin-main,132.2
Seomjin-main,132
Seomjin-main,131.8
Seomjin-main,131.727
Seomjin-main,131.6
Seomjin-main,131.4
Seomjin-main,131.2
Seomjin-main,131
Seomjin-main,130.8
Seomjin-main,130.6
Seomjin-main,130.4
Seomjin-main,130.2
Seomjin-main,130
Seomjin-main,129.8
Seomjin-main,129.711
Seomjin-main,129.6
Seomjin-main,129.517
Seomjin-main,129.466
Seomjin-main,129.4
Seomjin-main,129.2
Seomjin-main,129
Seomjin-main,128.846
Seomjin-main,128.8
Seomjin-main,128.6
Seomjin-main,128.4
Seomjin-main,128.2
Seomjin-main,128
Seomjin-main,127.845
Seomjin-main,127.8
Seomjin-main,127.723
Seomjin-main,127.6
Seomjin-main,127.4
Seomjin-main,127.2
Seomjin-main,127
Seomjin-main,126.8
Seomjin-main,126.6
Seomjin-main,126.4
Seomjin-main,126.2
Seomjin-main,126
Seomjin-main,125.905
Seomjin-main,125.8
Seomjin-main,125.605
Seomjin-main,125.4
Seomjin-main,125.2
Seomjin-main,125.033
Seomjin-main,124.8
Seomjin-main,124.725
Seomjin-main,124.6
Seomjin-main,124.4
Seomjin-main,124.2
Seomjin-main,124
Seomjin-main,123.8
Seomjin-main,123.6
Seomjin-main,123.378
Seomjin-main,123.2
Seomjin-main,123
Seomjin-main,122.8
Seomjin-main,122.6
Seomjin-main,122.4
Seomjin-main,122.2
Seomjin-main,122
Seomjin-main,121.8
Seomjin-main,121.6
Seomjin-main,121.4
Seomjin-main,121.2
Seomjin-main,121
Seomjin-main,120.869
Seomjin-main,120.8
Seomjin-main,120.6
Seomjin-main,120.4
Seomjin-main,120.2
Seomjin-main,120
Seomjin-main,119.944
Seomjin-main,119.8
Seomjin-main,119.6
Seomjin-main,119.477
Seomjin-main,119.4
Seomjin-main,119.2
Seomjin-main,119
Seomjin-main,118.8
Seomjin-main,118.6
Seomjin-main,118.4
Seomjin-main,118.2
Seomjin-main,118
Seomjin-main,117.94
Seomjin-main,117.8
Seomjin-main,117.6
Seomjin-main,117.4
Seomjin-main,117.2
Seomjin-main,117.029
Seomjin-main,116.935
Seomjin-main,116.8
Seomjin-main,116.6
Seomjin-main,116.4
Seomjin-main,116.2
Seomjin-main,116
Seomjin-main,115.8
Seomjin-main,115.6
Seomjin-main,115.4
Seomjin-main,115.349
Seomjin-main,115.2
Seomjin-main,115.096
Seomjin-main,115
Seomjin-main,114.8
Seomjin-main,114.6
Seomjin-main,114.4
Seomjin-main,114.2
Seomjin-main,114
Seomjin-main,113.8
Seomjin-main,113.6
Seomjin-main,113.4
Seomjin-main,113.263
Seomjin-main,113.2
Seomjin-main,113
Seomjin-main,112.8
Seomjin-main,112.6
Seomjin-main,112.4
Seomjin-main,112.2
Seomjin-main,112
Seomjin-main,111.8
Seomjin-main,111.6
Seomjin-main,111.4
Seomjin-main,111.297
Seomjin-main,111.2
Seomjin-main,111
Seomjin-main,110.8
Seomjin-main,110.6
Seomjin-main,110.4
Seomjin-main,110.2
Seomjin-main,110.106
Seomjin-main,110
Seomjin-main,109.8
Seomjin-main,109.6
Seomjin-main,109.539
Seomjin-main,109.4
Seomjin-main,109.2
Seomjin-main,109
Seomjin-main,108.861
Seomjin-main,108.8
Seomjin-main,108.6
Seomjin-main,108.4
Seomjin-main,108.2
Seomjin-main,108.113
Seomjin-main,108
Seomjin-main,107.943
Seomjin-main,107.8
Seomjin-main,107.6
Seomjin-main,107.4
Seomjin-main,107.2
Seomjin-main,107
Seomjin-main,106.8
Seomjin-main,106.6
Seomjin-main,106.4
Seomjin-main,106.2
Seomjin-main,106
Seomjin-main,105.956
Seomjin-main,105.8
Seomjin-main,105.6
Seomjin-main,105.4
Seomjin-main,105.2
Seomjin-main,105.152
Seomjin-main,104.977
Seomjin-main,104.8
Seomjin-main,104.6
Seomjin-main,104.4
Seomjin-main,104.2
Seomjin-main,104.142
Seomjin-main,104
Seomjin-main,103.8
Seomjin-main,103.671
Seomjin-main,103.6
Seomjin-main,103.4
Seomjin-main,103.2
Seomjin-main,103
Seomjin-main,102.8
Seomjin-main,102.718
Seomjin-main,102.6
Seomjin-main,102.474
Seomjin-main,102.4
Seomjin-main,102.2
Seomjin-main,102
Seomjin-main,101.8
Seomjin-main,101.6
Seomjin-main,101.4
Seomjin-main,101.2
Seomjin-main,101
Seomjin-main,100.868
Seomjin-main,100.8
Seomjin-main,100.6
Seomjin-main,100.4
Seomjin-main,100.2
Seomjin-main,100.147
Seomjin-main,100
Seomjin-main,99.8
Seomjin-main,99.727
Seomjin-main,99.6
Seomjin-main,99.4
Seomjin-main,99.2
Seomjin-main,99
Seomjin-main,98.8
Seomjin-main,98.6
Seomjin-main,98.4
Seomjin-main,98.2
Seomjin-main,98
Seomjin-main,97.8
Seomjin-main,97.656
Seomjin-main,97.6
Seomjin-main,97.4
Seomjin-main,97.2
Seomjin-main,97.049
Seomjin-main,97
Seomjin-main,96.8
Seomjin-main,96.6
Seomjin-main,96.4
Seomjin-main,96.2
Seomjin-main,96
Seomjin-main,95.8
Seomjin-main,95.6
Seomjin-main,95.4
Seomjin-main,95.346
Seomjin-main,95.2
Seomjin-main,95
Seomjin-main,94.896
Seomjin-main,94.8
Seomjin-main,94.6
Seomjin-main,94.4
Seomjin-main,94.2
Seomjin-main,94
Seomjin-main,93.8
Seomjin-main,93.6
Seomjin-main,93.502
Seomjin-main,93.4
Seomjin-main,93.2
Seomjin-main,93
Seomjin-main,92.8
Seomjin-main,92.6
Seomjin-main,92.4
Seomjin-main,92.2
Seomjin-main,92
Seomjin-main,91.868
Seomjin-main,91.8
Seomjin-main,91.6
Seomjin-main,91.4
Seomjin-main,91.2
Seomjin-main,91
Seomjin-main,90.8
Seomjin-main,90.6
Seomjin-main,90.4
Seomjin-main,90.297
Seomjin-main,90.2
Seomjin-main,90
Seomjin-main,89.8
Seomjin-main,89.6
Seomjin-main,89.4
Seomjin-main,89.2
Seomjin-main,89
Seomjin-main,88.8
Seomjin-main,88.6
Seomjin-main,88.4
Seomjin-main,88.2
Seomjin-main,88
Seomjin-main,87.8
Seomjin-main,87.718
Seomjin-main,87.6
Seomjin-main,87.4
Seomjin-main,87.2
Seomjin-main,87
Seomjin-main,86.8
Seomjin-main,86.6
Seomjin-main,86.4
Seomjin-main,86.2
Seomjin-main,86
Seomjin-main,85.853
Seomjin-main,85.8
Seomjin-main,85.6
Seomjin-main,85.4
Seomjin-main,85.2
Seomjin-main,85
Seomjin-main,84.8
Seomjin-main,84.6
Seomjin-main,84.4
Seomjin-main,84.2
Seomjin-main,84
Seomjin-main,83.8
Seomjin-main,83.6
Seomjin-main,83.4
Seomjin-main,83.2
Seomjin-main,83
Seomjin-main,82.8
Seomjin-main,82.737
Seomjin-main,82.6
Seomjin-main,82.4
Seomjin-main,82.2
Seomjin-main,82
Seomjin-main,81.8
Seomjin-main,81.6
Seomjin-main,81.4
Seomjin-main,81.2
Seomjin-main,81.092
Seomjin-main,81
Seomjin-main,80.8
Seomjin-main,80.677
Seomjin-main,80.6
Seomjin-main,80.4
Seomjin-main,80.2
Seomjin-main,80
Seomjin-main,79.88
Seomjin-main,79.8
Seomjin-main,79.758
Seomjin-main,79.6
Seomjin-main,79.4
Seomjin-main,79.2
Seomjin-main,79
Seomjin-main,78.8
Seomjin-main,78.6
Seomjin-main,78.4
Seomjin-main,78.2
Seomjin-main,78
Seomjin-main,77.8
Seomjin-main,77.7
Seomjin-main,77.67
Seomjin-main,77.613
Seomjin-main,77.4
Seomjin-main,77.2
Seomjin-main,77
Seomjin-main,76.8
Seomjin-main,76.6
